year,quarter,region_ar,city_ar,Category,total_deals,average
2019,4,المنطقة الشرقية,الدمام,محل - تجاري,421,555.789369
2019,4,المنطقة الشرقية,الذيبية,محل - تجاري,1,500
2019,4,المنطقة الشرقية,العيون,محل - تجاري,6,338.472221
2019,4,المنطقة الشرقية,القطيف,محل - تجاري,67,491.854493
2019,4,المنطقة الشرقية,النعيرية,محل - تجاري,3,286.11111
2019,4,المنطقة الشرقية,بقيق,محل - تجاري,1,516.66667
2019,4,المنطقة الشرقية,حفر الباطن,محل - تجاري,37,573.682576
2019,4,المنطقة الشرقية,رأس تنورة,محل - تجاري,18,263.887559
2019,4,المنطقة الشرقية,الاحساء,معرض تجاري - تجاري,2,425.925925
2019,4,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,9,878.089014
2019,4,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,15,401.741739
2019,4,المنطقة الشرقية,القطيف,معرض تجاري - تجاري,1,369.31818
2019,4,المنطقة الشرقية,حفر الباطن,معرض تجاري - تجاري,1,130.63063
2019,4,المنطقة الشرقية,الاحساء,مكتب - تجاري,8,219.747168
2019,4,المنطقة الشرقية,الجبيل,مكتب - تجاري,11,321.398809
2019,4,المنطقة الشرقية,الخبر,مكتب - تجاري,83,360.057822
2019,4,المنطقة الشرقية,الدمام,مكتب - تجاري,95,255.836107
2019,4,المنطقة الشرقية,الذيبية,مكتب - تجاري,1,400
2019,4,المنطقة الشرقية,القطيف,مكتب - تجاري,13,229.146065
2019,4,المنطقة الشرقية,بقيق,مكتب - تجاري,1,300
2019,4,المنطقة الشرقية,حفر الباطن,مكتب - تجاري,1,20
2019,4,المنطقة الشرقية,رأس تنورة,مكتب - تجاري,3,179.716706
2020,1,المنطقة الشرقية,الاحساء,استديو - سكني,219,9696.410256
2020,1,المنطقة الشرقية,الجبيل,استديو - سكني,152,13737.85714
2020,1,المنطقة الشرقية,الخبر,استديو - سكني,480,13045.24217
2020,1,المنطقة الشرقية,الخفجي,استديو - سكني,50,13371.16279
2020,1,المنطقة الشرقية,الدمام,استديو - سكني,900,11260.2642
2020,1,المنطقة الشرقية,العيون,استديو - سكني,3,14400
2020,1,المنطقة الشرقية,القطيف,استديو - سكني,20,12305.55556
2020,1,المنطقة الشرقية,القيصومة,استديو - سكني,1,5000
2020,1,المنطقة الشرقية,النعيرية,استديو - سكني,7,18171.42857
2020,1,المنطقة الشرقية,بقيق,استديو - سكني,2,8000
2020,1,المنطقة الشرقية,حفر الباطن,استديو - سكني,89,8965.822784
2020,1,المنطقة الشرقية,رأس تنورة,استديو - سكني,8,10200
2020,1,المنطقة الشرقية,الاحساء,دوبلاكس - سكني,30,23821.2
2020,1,المنطقة الشرقية,الجبيل,دوبلاكس - سكني,10,32592.55556
2020,1,المنطقة الشرقية,الخبر,دوبلاكس - سكني,77,46868.20833
2020,1,المنطقة الشرقية,الدمام,دوبلاكس - سكني,168,44188.27389
2020,1,المنطقة الشرقية,القطيف,دوبلاكس - سكني,27,21432.84615
2020,1,المنطقة الشرقية,النعيرية,دوبلاكس - سكني,2,24500
2020,1,المنطقة الشرقية,بقيق,دوبلاكس - سكني,1,70000
2020,1,المنطقة الشرقية,حفر الباطن,دوبلاكس - سكني,11,12872.72727
2020,1,المنطقة الشرقية,رأس تنورة,دوبلاكس - سكني,2,23500
2020,1,المنطقة الشرقية,الاحساء,دور - سكني,98,18126.49438
2020,1,المنطقة الشرقية,الجبيل,دور - سكني,4,71500
2020,1,المنطقة الشرقية,الخبر,دور - سكني,68,31229.17241
2020,1,المنطقة الشرقية,الخفجي,دور - سكني,10,19800
2020,1,المنطقة الشرقية,الدمام,دور - سكني,189,32186.43931
2020,1,المنطقة الشرقية,الذيبية,دور - سكني,1,20400
2020,1,المنطقة الشرقية,العيون,دور - سكني,7,13793.83333
2020,1,المنطقة الشرقية,القطيف,دور - سكني,26,21399.96154
2020,1,المنطقة الشرقية,القيصومة,دور - سكني,11,11145.45455
2020,1,المنطقة الشرقية,النعيرية,دور - سكني,12,20964.09091
2020,1,المنطقة الشرقية,بقيق,دور - سكني,9,24222.22222
2020,1,المنطقة الشرقية,حفر الباطن,دور - سكني,50,15340.42553
2020,1,المنطقة الشرقية,رأس تنورة,دور - سكني,18,25818.75
2020,1,المنطقة الشرقية,الاحساء,شقة - سكني,3130,12670.06696
2020,1,المنطقة الشرقية,الجبيل,شقة - سكني,1511,19306.10377
2020,1,المنطقة الشرقية,الخبر,شقة - سكني,5575,19660.01314
2020,1,المنطقة الشرقية,الخفجي,شقة - سكني,185,13801.51299
2020,1,المنطقة الشرقية,الدمام,شقة - سكني,9498,17581.41918
2020,1,المنطقة الشرقية,الذيبية,شقة - سكني,56,19602.81818
2020,1,المنطقة الشرقية,العيون,شقة - سكني,59,12577.16667
2020,1,المنطقة الشرقية,القطيف,شقة - سكني,919,16746.41184
2020,1,المنطقة الشرقية,القيصومة,شقة - سكني,23,7800
2020,1,المنطقة الشرقية,النعيرية,شقة - سكني,83,14757.85
2020,1,المنطقة الشرقية,بقيق,شقة - سكني,84,18518.88889
2020,1,المنطقة الشرقية,حفر الباطن,شقة - سكني,634,11233.75094
2020,1,المنطقة الشرقية,رأس تنورة,شقة - سكني,394,15198.19932
2020,1,المنطقة الشرقية,قرية العليا,شقة - سكني,4,9800
2020,1,المنطقة الشرقية,مليجة,شقة - سكني,2,6750
2020,1,المنطقة الشرقية,الاحساء,فيلا - سكني,29,21530.73077
2020,1,المنطقة الشرقية,الجبيل,فيلا - سكني,4,69000
2020,1,المنطقة الشرقية,الخبر,فيلا - سكني,69,66333.33333
2020,1,المنطقة الشرقية,الخفجي,فيلا - سكني,2,35000
2020,1,المنطقة الشرقية,الدمام,فيلا - سكني,102,44949.07368
2020,1,المنطقة الشرقية,القطيف,فيلا - سكني,7,21400
2020,1,المنطقة الشرقية,حفر الباطن,فيلا - سكني,2,18545
2020,1,المنطقة الشرقية,الاحساء,محل - تجاري,159,379.020698
2020,1,المنطقة الشرقية,الجبيل,محل - تجاري,62,438.966138
2020,1,المنطقة الشرقية,الخبر,محل - تجاري,351,519.714973
2020,1,المنطقة الشرقية,الخفجي,محل - تجاري,24,342.137032
2020,1,المنطقة الشرقية,الدمام,محل - تجاري,572,608.407627
2020,1,المنطقة الشرقية,العيون,محل - تجاري,18,396.263544
2020,1,المنطقة الشرقية,القطيف,محل - تجاري,97,446.029349
2020,1,المنطقة الشرقية,القيصومة,محل - تجاري,1,225
2020,1,المنطقة الشرقية,النعيرية,محل - تجاري,8,274.21363
2020,1,المنطقة الشرقية,بقيق,محل - تجاري,3,458.333333
2020,1,المنطقة الشرقية,حفر الباطن,محل - تجاري,34,379.827163
2020,1,المنطقة الشرقية,رأس تنورة,محل - تجاري,9,315.820591
2020,1,المنطقة الشرقية,الاحساء,معرض تجاري - تجاري,2,169.871795
2020,1,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,38,538.230917
2020,1,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,22,404.65291
2020,1,المنطقة الشرقية,القطيف,معرض تجاري - تجاري,1,214.28571
2020,1,المنطقة الشرقية,الاحساء,مكتب - تجاري,12,262.71409
