المؤشر العقاري لمدينة المدينة المنورة  في عام 2018 و2019 و2020 و 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
المدينة,المدينة المنورة,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
اكتوبر,تجاري,معرض/محل,145000,37.57,1,,,,,,,,,
اكتوبر,تجاري,مركز تجاري,2203532,6256.59,1,,,,,,,,,
اكتوبر,تجاري,بيت,255000,371.26,2,,,,,,,,,
اكتوبر,تجاري,أرض زراعية,,,,750000,128422.06,1,,,,,,
اكتوبر,زراعي,,17619600,476213.19,23,30616274,572742.88,8,18169851,873057.92,32,,,
اكتوبر,زراعي,قطعة أرض,,,,,,,11221756,469809.7,17,,,
اكتوبر,زراعي,أرض زراعية,17619600,476213.19,23,30616274,572742.88,8,6948095,403248.22,15,,,
نوفمبر,,,545964312,1617144.13,802,684131090,406085.1679,707,790670344,1916474.057,1002,,,
نوفمبر,سكني,,404819259,393484.0035,719,532931639,331918.4111,648,593922212,999152.167,844,,,
نوفمبر,سكني,قطعة أرض,340755764,371055.3945,615,460887292,304677.1083,550,566359104,985190.72,793,,,
نوفمبر,سكني,عمارة,200000,828.05,2,,,,1942428,1603.18,2,,,
نوفمبر,سكني,فيلا,5082800,2326.48,7,11560407,3291.81,12,2625000,1142.88,3,,,
نوفمبر,سكني,شقة,39809355,14745.159,78,43973374,13554.0837,69,19213880,7228.917,28,,,
نوفمبر,سكني,معرض/محل,,,,,,,100000,46.64,2,,,
نوفمبر,سكني,بيت,18881340,4259.96,16,16430566,3945.5784,16,3681800,3939.83,16,,,
نوفمبر,سكني,مرفق,90000,268.96,1,,,,,,,,,
نوفمبر,سكني,أرض زراعية,,,,80000,6449.8307,1,,,,,,
نوفمبر,تجاري,,132120053,292673.0365,67,45445101,35388.6168,57,118850398,97034.94,128,,,
نوفمبر,تجاري,قطعة أرض,45529110,70686.7265,62,44545923,35210.3268,56,116610398,96298.94,126,,,
نوفمبر,تجاري,فيلا,,,,899178,178.29,1,,,,,,
نوفمبر,تجاري,شقة,,,,,,,2240000,736,2,,,
نوفمبر,تجاري,بيت,18590943,906.11,3,,,,,,,,,
نوفمبر,تجاري,أرض زراعية,68000000,221080.2,2,,,,,,,,,
نوفمبر,زراعي,,9025000,930987.09,16,105754350,38778.14,2,77897734,820286.95,30,,,
نوفمبر,زراعي,قطعة أرض,155000,16335,1,,,,3991000,1587.08,9,,,
نوفمبر,زراعي,أرض زراعية,8870000,914652.09,15,105754350,38778.14,2,73906734,818699.87,21,,,
ديسمبر,,,870322982,2002124.4553,1041,784739181,999957.7234,927,593812097,1592568.907,916,,,
ديسمبر,سكني,,537350075,589832.8579,931,505902842,518053.6612,834,430295307,461911.677,741,,,
ديسمبر,سكني,قطعة أرض,447887631,527486.4237,823,450227126,490102.9482,734,397592536,444538.043,678,,,
ديسمبر,سكني,عمارة,,,,,,,1663222,953.76,2,,,
ديسمبر,سكني,فيلا,7860970,2846.8844,8,10329453,3501.45,10,3949800,2118.65,5,,,
ديسمبر,سكني,شقة,47614686,15221.8098,81,30553729,10413.783,58,22401454,6563.064,38,,,
ديسمبر,سكني,بيت,24006794,3755.07,16,14792534,14035.48,32,4288295,4705.54,17,,,
ديسمبر,سكني,مرفق,9329994,10209.88,2,,,,,,,,,
ديسمبر,سكني,إستراحة,,,,,,,400000,3032.62,1,,,
ديسمبر,سكني,أرض زراعية,650000,30312.79,1,,,,,,,,,
ديسمبر,تجاري,,248050327,83586.8074,90,95556901,65534.9022,82,122509508,132575.75,135,,,
ديسمبر,تجاري,قطعة أرض,247200327,83283.7574,89,92815573,64996.3022,80,120809508,131771.31,133,,,
ديسمبر,تجاري,فيلا,,,,2741328,538.6,2,1200000,400,1,,,
ديسمبر,تجاري,شقة,850000,303.05,1,,,,,,,,,
ديسمبر,تجاري,بيت,,,,,,,500000,404.44,1,,,
ديسمبر,زراعي,,84922580,1328704.79,20,183279438,416369.16,11,41007282,998081.48,40,,,
ديسمبر,زراعي,قطعة أرض,620000,1248,2,,,,7491000,62819.79,16,,,
ديسمبر,زراعي,أرض زراعية,84302580,1327456.79,18,183279438,416369.16,11,33516282,935261.69,24,,,
