شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
مولد خاص,2021,المنطقة الشرقية,فيلا,0.00
مولد خاص,2021,جازان,شقة,0.00
شبكة خاصة,2017,الجوف,أخرى,0.00
شبكة خاصة,2022,حائل,دور في منزل شعبي,0.00
شبكة خاصة,2022,الحدود الشمالية,دور في منزل شعبي,0.00
شبكة عامة,2018,الباحة,منزل شعبي,100.00
طاقة شمسية,2018,المدينة المنورة,منزل شعبي,0.00
طاقة شمسية,2018,الحدود الشمالية,دور في فيلا,0.00
شبكة عامة,2018,الرياض,أخرى,100.00
شبكة خاصة,2019,المنطقة الشرقية,دور في منزل شعبي,0.00
شبكة خاصة,2022,القصيم,منزل شعبي,2.33
طاقة شمسية,2022,الجوف,دور في فيلا,0.00
شبكة عامة,2022,المنطقة الشرقية,دور في فيلا,77.44
شبكة عامة,2019,الباحة,فيلا,100.00
مولد خاص,2022,نجران,دور في منزل شعبي,0.00
مولد خاص,2021,مكة المكرمة,أخرى,0.00
طاقة شمسية,2018,القصيم,أخرى,0.00
شبكة عامة,2018,تبوك,دور في منزل شعبي,100.00
طاقة شمسية,2017,الجوف,دور في فيلا,0.00
طاقة شمسية,2019,تبوك,دور في منزل شعبي,0.00
شبكة خاصة,2021,الحدود الشمالية,فيلا,0.02
مولد خاص,2018,المنطقة الشرقية,فيلا,1.32
شبكة خاصة,2022,حائل,منزل شعبي,0.00
شبكة عامة,2018,المدينة المنورة,شقة,100.00
طاقة شمسية,2021,مكة المكرمة,دور في منزل شعبي,0.00
شبكة خاصة,2017,المدينة المنورة,دور في فيلا,0.00
شبكة عامة,2022,الجوف,فيلا,100.00
شبكة عامة,2018,الحدود الشمالية,شقة,100.00
مولد خاص,2018,حائل,فيلا,0.00
مولد خاص,2022,الباحة,دور في منزل شعبي,0.00
شبكة خاصة,2018,المنطقة الشرقية,دور في منزل شعبي,0.00
مولد خاص,2018,الباحة,أخرى,0.00
طاقة شمسية,2022,عسير,منزل شعبي,0.00
طاقة شمسية,2019,الجوف,دور في فيلا,0.00
مولد خاص,2021,حائل,منزل شعبي,0.00
مولد خاص,2022,القصيم,أخرى,0.00
شبكة خاصة,2021,الرياض,منزل شعبي,0.00
شبكة خاصة,2018,عسير,شقة,0.00
مولد خاص,2022,جازان,دور في منزل شعبي,0.00
شبكة خاصة,2021,حائل,فيلا,0.00
