id,field_id,value,count,percentage
704,152,"نفقات",6,0.26
705,152,"صداق",2,0.09
706,155,"مكة المكرمه",697,31.91
707,155,"الرياض",439,20.1
708,155,"الشرقية",380,17.4
709,155,"جازان",161,7.37
710,155,"القصيم",141,6.46
711,155,"المدينة المنوره",87,3.98
712,155,"عسير",74,3.39
713,155,"حائل",56,2.56
714,155,"الجوف",42,1.92
715,155,"نجران",35,1.6
716,155,"الباحة",28,1.28
717,155,"الحدود الشمالية",24,1.1
718,155,"تبوك",20,0.92
719,156,"جده",533,24.4
720,156,"الرياض",439,20.1
721,156,"الدمام",303,13.87
722,156,"جيزان",161,7.37
723,156,"بريده",141,6.46
724,156,"مكة المكرمة",122,5.59
725,156,"المدينة المنورة",87,3.98
726,156,"ابها",74,3.39
727,156,"حائل",56,2.56
728,156,"الطائف",42,1.92
729,156,"سكاكا",42,1.92
730,156,"حفر الباطن",41,1.88
731,156,"الاحساء",36,1.65
732,156,"نجران",35,1.6
733,156,"الباحه",28,1.28
734,156,"عرعر",24,1.1
735,156,"تبوك",20,0.92
736,157,"احكام و قرارات",819,37.5
737,157,"أوراق تجارية",557,25.5
738,157,"عقود",379,17.35
739,157,"اخلاء",239,10.94
740,157,"أوراق تجارية إلكترونية",130,5.95
741,157,"مزاد",27,1.24
742,157,"عام",19,0.87
743,157,"محاضر",12,0.55
744,157,"نفقات",1,0.05
745,157,"أخرى",1,0.05
746,160,"منطقة مكة المكرمه",783,37.21
747,160,"منطقة الشرقية",483,22.96
748,160,"منطقة الرياض",364,17.3
749,160,"منطقة المدينة المنوره",148,7.03
750,160,"منطقة القصيم",79,3.75
751,160,"منطقة جازان",53,2.52
752,160,"منطقة الباحة",46,2.19
753,160,"منطقة عسير",43,2.04
754,160,"منطقة تبوك",31,1.47
755,160,"منطقة حائل",29,1.38
756,160,"منطقة الجوف",23,1.09
757,160,"منطقة الحدود الشمالية",12,0.57
758,160,"منطقة نجران",10,0.48
759,161,"جده",651,30.94
760,161,"الدمام",401,19.06
761,161,"الرياض",364,17.3
762,161,"المدينة المنورة",148,7.03
763,161,"مكة المكرمة",126,5.99
764,161,"بريده",79,3.75
765,161,"حفر الباطن",55,2.61
766,161,"جيزان",53,2.52
767,161,"الباحه",46,2.19
768,161,"ابها",43,2.04
769,161,"تبوك",31,1.47
770,161,"حائل",29,1.38
771,161,"الاحساء",27,1.28
772,161,"سكاكا",23,1.09
773,161,"عرعر",12,0.57
774,161,"نجران",10,0.48
775,161,"الطائف",6,0.29
776,162,"احكام و قرارات",1037,49.29
777,162,"أوراق تجارية",690,32.79
778,162,"عقود",153,7.27
779,162,"اخلاء",111,5.28
780,162,"أوراق تجارية إلكترونية",70,3.33
781,162,"مزاد",29,1.38
782,162,"عام",8,0.38
783,162,"محاضر",4,0.19
784,162,"نفقات",1,0.05
785,162,"صداق",1,0.05
786,166,"مكة المكرمه",508,29.86
787,166,"الشرقية",377,22.16
788,166,"الرياض",367,21.58
789,166,"المدينة المنوره",135,7.94
790,166,"القصيم",84,4.94
791,166,"جازان",75,4.41
792,166,"حائل",40,2.35
793,166,"عسير",36,2.12
794,166,"الجوف",20,1.18
795,166,"نجران",20,1.18
796,166,"تبوك",18,1.06
797,166,"الباحة",13,0.76
